ID,_Name,_PosX,_PosY,_Rect_Width,_Rect_Height,_Map_Image,_Map_Width,_Map_Height,_Description,_Icon,_Icon_Index,_Map_Info1,_Map_Info2,_Map_Info3,_Map_Info4,_Map_Info5,_Land
17,阿法都市,353,337,54,54,Jiendia_017.png,1024,650,這個都市又有著沙漠寶石與珍珠港口這樣的稱號， 在這裡可以搭船前往別的地方。但現在要移動到別的大陸還是相當困難。,10002000,25,沙漠地帶,黑暗森林,奧爾卡海邊,,,1
18,金字塔遺址,443,293,30,30,Jiendia_018.png,1024,650,可以移動到沙漠地區、歷史久遠的阿法遺址，還有傳聞說這裡藏有古代的寶物?,10002000,27,沙漠地帶,[副本] 金字塔墓室,,,,1
19,龍京都市,746,330,54,54,Jiendia_019.png,1024,650,"充滿中國式建築與雕像的華麗都市。 使人聯想到隱隱發亮的霓虹燈的龍京燈光, 光是為了看這個就值得你一定要去一次。",10002000,12,山嶽地帶,紅高粱地,櫻樹湖畔,老虎寺,,1
20,奧亦奇都市,551,367,54,54,Jiendia_020.png,1024,650,"這是具有獨特地方色彩、歷史悠久的都市, 在明亮的午後氣氛中，深邃的藍天使人的心胸變的開闊。",10002000,19,櫻樹湖畔,黑月城,沙漠地帶,貓頭鷹城,,1
21,山嶽地帶,753,247,30,30,Jiendia_021.png,1024,650,如同東洋畫中山景的地區，因地形險惡所以也有許多兇猛的野獸出沒，這裡還有許多的溪谷與絕壁，繩索與橋樑若沒有搭的穩固是很危險的。,10002000,9,地下洞穴,龍京都市,,,,1
22,阿爾卡笛亞,897,228,30,30,Jiendia_022.png,1024,650,有著瀑布、彩虹、蓮花池上的蓮花還有桃樹等的地區。因為有著這樣的美景，所以又被賦予了理想國、阿爾卡笛亞等別名，也被稱為奔跑的武陵桃源。,10002000,11,紅高粱地,[副本] 香格里拉,,,,1
23,櫻樹湖畔,671,375,30,30,Jiendia_023.png,1024,650,"通往奧亦奇的入口, 道路豎立著華麗的櫻花樹,是美麗的湖水地帶。經由跨越湖水的橋可前往奧亦奇。",10002000,13,龍京都市,奧亦奇都市,,,,1
24,沙漠地帶,462,373,30,30,Jiendia_024.png,1024,650,存在於奧亦奇與阿法之間的沙漠地帶。 因為是相當荒涼的地方，從以前開始就有盜賊出沒，是個危險的地方。,10002000,21,奧亦奇都市,阿法都市,金字塔,[轉職] 古代訓練場,,1
25,山林礦場,0,0,0,0,,0,0,,0,0,,,,,,0
26,旅行者休息地,0,0,0,0,,0,0,在漫長的冒險途中可以休息和補充裝備的地方。 可以遇見在做生意的3兄妹 海伊凱爾、托勒妮亞、龍克斯。,10002000,26,,,,,,1
27,旅行者休息地,0,0,0,0,,0,0,在漫長的冒險途中可以休息和補充裝備的地方。 可以遇見在做生意的3兄妹 海伊凱爾、托勒妮亞、龍克斯。,10002000,26,,,,,,1
28,旅行者休息地,0,0,0,0,,0,0,在漫長的冒險途中可以休息和補充裝備的地方。 可以遇見在做生意的3兄妹 海伊凱爾、托勒妮亞、龍克斯。,10002000,26,,,,,,1
29,旅行者休息地,0,0,0,0,,0,0,在漫長的冒險途中可以休息和補充裝備的地方。 可以遇見在做生意的3兄妹 海伊凱爾、托勒妮亞、龍克斯。,10002000,26,,,,,,1
30,黑暗森林,282,308,30,30,Jiendia_030.png,1024,650,傳說中這裡從好久好久以前就開始有魔物的出現，因此成為大家害怕與恐懼的地方。就連大白天也絲毫沒有任何光線透進來，黑得伸手不見五指。,10002000,32,阿法都市,陰森住宅,,,,1
31,陰森住宅,167,336,30,30,Jiendia_031.png,1024,650,以艾利亞斯王宮建國之前的建築形式建造而成的不祥住宅。 有許多人曾聽過陰森詭異的風聲、哀鳴，甚或是親眼目擊到白影等等靈異之事。,10002000,33,黑暗森林,[副本] 哥德房屋,,,,1
32,黑月城監獄,0,0,0,0,,0,0,黑月城內部的秘密監獄，真正的位置被面紗遮住了。,10002000,20,黑月城,,,,,1
33,奧爾卡海邊,388,450,30,30,Jiendia_033.png,1024,650,連接港都阿法的海岸道路，運氣好的話或許可以看到海豚與殺人鯨?!,10002000,35,貝斯都市,吉納蒂亞,阿法都市,亞特蘭提斯都市,,1
34,破壞都市,0,0,0,0,,0,0,不使用 (活動使用),0,0,,,,,,1
35,爬呀爬大樹,580,605,30,30,Jiendia_035.png,1024,1024,爬呀! 爬呀! 到頂端去看看吧~。,10002000,37,雨林地帶,,,,,1
36,超級瑪琍,0,0,0,0,,0,0,,0,0,,,,,,1
37,貝斯都市,424,527,54,54,Jiendia_037.png,1024,650,可以從阿法到海岸的都市，傳聞現在還在修復中…。,10002000,39,奧爾卡海邊,雨林地帶,幽靈海盜船,,,1
38,雨林地帶,531,527,30,30,Jiendia_038.png,1024,650,侵犯過貝斯的野蠻族大本營。,10002000,40,貝斯都市,克杜卡遺址,螞蟻洞窟,薩勒斯原野,爬呀爬大樹,1
39,克杜卡遺址,645,555,30,30,Jiendia_039.png,1024,1024,古代神克杜卡的遺址。,10002000,41,雨林地帶,地下克杜卡遺址,,,,1
40,地下克杜卡遺址,733,508,30,30,Jiendia_040.png,1024,650,在遺址地下的秘密場所的阿卡修拉是…?!,10002000,42,克杜卡遺址,[副本] 已冷卻的心臟,[副本] 克杜卡心臟,,,1
41,春植地下通道,0,0,0,0,Jiendia_041.png,1024,650,這是能夠通往春植島的春植地下通道喔!,10002000,43,時空連結,,,,,1
42,春植島,0,0,0,0,Jiendia_042.png,1024,650,這裡曾是以冒險家出身的奉春植領主所治理的地方。但受到深陷於黑暗誘惑的法師的影響，這裡受到詛咒也失去了原先的樣貌。,10002000,44,,,,,,0
43,貓頭鷹城,624,307,30,30,Jiendia_043.png,1024,650,與黑月城是對立關係的城， 今日也在平靜的月光下展開了秘密暗殺者的死鬥。,10002000,45,奧亦奇都市,,,,,1
44,聖誕節快樂,0,0,0,0,,0,0,"Yeah, 大家! 聖誕節快樂!",0,0,,,,,,1
45,幽靈海盜船,336,520,30,30,Jiendia_045.png,1024,1024,帶著詭異的貨物來的海岸商人到了晚上會?!,10002000,47,貝斯都市,[副本] 強尼船長的房間,,,,1
46,殺人鯨號,0,0,0,0,,0,0,到阿法附近小島的船。聽說正在徵求能夠擊退島上怪物的冒險家…?,0,0,,,,,,1
47,古木林,377,167,30,30,Jiendia_047.png,1024,650,貝羅斯旁邊佇立許多古老的樹木的地方。,10002000,51,山林地帶,冥王神殿,,,,1
48,彭哥列列車,678,862,30,30,Jiendia_048.png,1024,650,原本是開往萊比歐力 皮爾的列車。 因為運氣不好的乘客們遇到了怪獸襲擊的事故，所以列車停在途中。,10002000,52,米德卡勒特,,,,,1
49,火車站,0,0,0,0,Jiendia_048.png,1024,650,搭乘最新的蒸氣機關車到遠方吧 Go! Go!,10002000,53,沙漠地帶,,,,,1
50,兔女郎的活動,0,0,0,0,,0,0,今天也一如往常為玩家計畫愉快活動的托馬的活動區。,0,0,,,,,,1
51,水晶礦場,0,0,0,0,,0,0,,0,0,,,,,,1
52,蛇龍巢穴,0,0,0,0,,0,0,,10002000,0,,,,,,1
53,薩勒斯原野,487,613,30,30,Jiendia_053.png,1024,650,"在時空門的另一邊 , 古代的巨大恐龍居住的地方。",10002000,56,雨林地帶,,,,,1
54,貝希摩斯肚子,500,457,30,30,Jiendia_054.png,1024,1024,"體型彷彿巨大都市般的超大型怪物, 貝希摩斯的肚子內部。",10002000,58,雨林地帶,[副本] 年糕地區,,,,1
55,奧利佛原野,0,0,0,0,Jiendia_055.png,1024,650,前往幻想中的小人國-奧利佛的去路。,10002000,59,奧利佛都市,,,,,1
56,奧利佛都市,324,782,30,30,Jiendia_056.png,1024,650,幻想中的小人國-奧利佛的都市。,10002000,60,亞特蘭提斯,奧利佛原野,唉唷唉唷城,,,1
57,唉唷唉唷城,0,0,0,0,Jiendia_057.png,1024,1024,建造於小人國奧利佛的城。 聽說與古代的 '星船'有關連呢。,10002000,61,奧利佛都市,,,,,1
58,餅乾花園,0,0,0,0,Jiendia_058.png,1024,650,經過春植島後，要進入本城之前的庭園。可以遇到變成餅乾的怪物們喔。,10002000,62,,,,,,0
59,公會房間,0,0,0,0,,0,0,,0,0,,,,,,1
60,極地迷宮,0,0,0,0,,0,0,北方冰凍土地的迷宮般的路。,0,0,,,,,,1
61,香格里拉,0,0,0,0,,0,0,"在阿爾卡笛亞深處, 古代仙人們修道的場所。",0,0,,,,,,1
62,哥德房屋,0,0,0,0,,0,0,在陰森住宅深處的場所。,0,0,,,,,,1
63,十六日的月,0,0,0,0,,0,0,"黑月城內部,只有婦女們在的內部。",0,0,,,,,,1
64,金字塔墓室,0,0,0,0,,0,0,"在金字塔最深處 , 保管國王和女王的木乃伊和寶物的地方。",0,0,,,,,,1
65,已冷卻的心臟,0,0,0,0,,0,0,"克杜卡遺址裡面, 克杜卡的巫女進行祭典的場所。",0,0,,,,,,1
66,潛水艇,0,0,0,0,,0,0,前往亞特蘭提斯的潛水艇。,0,0,,,,,,1
67,亞特蘭提斯都市,237,658,54,54,Jiendia_067.png,1024,650,目前沉沒在海中、據說是個科學文明發達的都市。,10002000,79,奧爾卡海邊,深淵的遺址,癩蛤蟆村落,雪原,天門,1
68,深淵的遺址,401,752,30,30,Jiendia_068.png,1024,650,"成為廢墟的古代""開發地區""的殘骸。",10002000,80,亞特蘭提斯都市,水族館,[副本] 奇邁羅研究所,,,1
69,轉職中心,0,0,0,0,,0,0,欲轉職到更高職等的1轉玩家必須造訪的地方。,0,0,,,,,,1
70,[PVP]平地型01,0,0,0,0,,0,0,,0,0,,,,,,1
71,[PVP]道具戰01,0,0,0,0,,0,0,,0,0,,,,,,1
72,[PVP]傳送門戰01,0,0,0,0,,0,0,,0,0,,,,,,1
73,[收費] 蛇龍巢穴,0,0,0,0,,0,0,,0,0,,,,,,1
74,[收費] 極地迷宮,0,0,0,0,,0,0,,0,0,,,,,,1
75,[收費] 香格里拉,0,0,0,0,,0,0,,0,0,,,,,,1
76,[收費] 金字塔墓室,0,0,0,0,,0,0,,0,0,,,,,,1
77,[收費] 幽靈海盜船,0,0,0,0,,0,0,,0,0,,,,,,1
78,爬呀爬大樹_冬季,0,0,0,0,,0,0,,0,0,,,,,,1
79,活動_山林地帶,0,0,0,0,,0,0,,0,0,,,,,,1
80,活動_冥王神殿,0,0,0,0,,0,0,,0,0,,,,,,1
81,春植島領主館,0,0,0,0,Jiendia_081.png,1024,650,環繞春植島的冒險中的最後一道關隘，最後一個春植在哪裡?!,10002000,86,,,,,,0
82,奇邁羅研究所,0,0,0,0,,0,0,目前關閉中的古老亞特蘭提斯遺傳基因研究所。,0,0,,,,,,1
83,春植島領主館(副本),0,0,0,0,,0,0,最後的冒險! 奉春植~永世不滅-?!,0,0,,,,,,1
84,年糕地圖(副本),0,0,0,0,,0,0,年糕先生、科學怪人、年糕大師駐紮的地方。,0,0,,,,,,1
85,水族館,553,766,30,30,Jiendia_085.png,1024,650,又名 [水晶之路]。要去米德卡勒特會經過的地方。,10002000,87,深淵的遺址,地下暗渠,米德卡勒特,珊瑚之城,,1
86,米德卡勒特,645,755,54,54,Jiendia_086.png,1024,650,從遠方星球來到這裡的旅行者們停留的夢幻都市。,10002000,88,水族館,比佛羅斯特,小章魚城,彭哥列列車,吉恩蒂亞公園,1
87,比佛羅斯特,754,787,20,20,Jiendia_087.png,1024,1024,從米德卡勒特開始，越過地面越過大氣圈的巨大軌道太空梯。,10002000,89,米德卡勒特,機庫,[副本] 瓦爾哈拉,,,1
88,瓦爾哈拉(副本),0,0,0,0,,0,0,"位於比佛羅斯特途中的疑問空間，又稱 ""戰士們的休息站""。",0,0,,,,,,1
89,大蘋果之城,793,84,54,54,Jiendia_089.png,1024,650,從別的世界來到彩虹島世界的冒險家所創造的都市。,10002000,91,[副本] 怪物塔,[副本] 大亂鬥,[副本] 地鐵站,,,1
90,[活動]消滅鼴鼠,0,0,0,0,,0,0,,0,0,,,,,,1
91,[活動]競技場,0,0,0,0,,0,0,,0,0,,,,,,1
92,[聊天室]一般01,0,0,0,0,,0,0,,0,0,,,,,,1
93,[聊天室]市集01,0,0,0,0,,0,0,,0,0,,,,,,1
94,[聊天室]尋人01,0,0,0,0,,0,0,,0,0,,,,,,1
95,[聊天室]交誼01,0,0,0,0,,0,0,,0,0,,,,,,1
96,怪物大樓01,0,0,0,0,,0,0,,0,0,,,,,,1
97,怪物大樓02,0,0,0,0,,0,0,,0,0,,,,,,1
98,怪物大樓03,0,0,0,0,,0,0,,0,0,,,,,,1
99,怪物大樓05,0,0,0,0,,0,0,,0,0,,,,,,1
100,怪物大樓06,0,0,0,0,,0,0,,0,0,,,,,,1
101,怪物大樓07,0,0,0,0,,0,0,,0,0,,,,,,1
102,怪物大樓08,0,0,0,0,,0,0,,0,0,,,,,,1
103,怪物大樓09,0,0,0,0,,0,0,,0,0,,,,,,1
104,怪物大樓10,0,0,0,0,,0,0,,0,0,,,,,,1
105,怪物大樓11,0,0,0,0,,0,0,,0,0,,,,,,1
106,怪物大樓12,0,0,0,0,,0,0,,0,0,,,,,,1
107,怪物大樓13,0,0,0,0,,0,0,,0,0,,,,,,1
108,怪物大樓14,0,0,0,0,,0,0,,0,0,,,,,,1
109,恐怖村莊,0,0,0,0,,0,0,,0,0,,,,,,1
110,[活動]寶石洞穴,0,0,0,0,,0,0,,0,0,,,,,,1
111,太空梭發射台,0,0,0,0,Jiendia_111.png,1024,650,"將位在吉恩蒂亞和普雷伊奧斯大陸的 星球""艾特瓦勒""，與星星海洋連結起來的太空站。",10002000,113,,,,,,1
112,癩蛤蟆聚落,140,725,30,30,Jiendia_112.png,1024,650,與通往癩蛤蟆山谷的巷子連接的癩蛤蟆聚落。,10002000,97,癩蛤蟆村落,[副本] 癩蛤蟆山谷,,,,1
113,癩蛤蟆樹林(副本),0,0,0,0,,0,0,,0,0,,,,,,1
114,癩蛤蟆山(副本),0,0,0,0,,0,0,,0,0,,,,,,1
115,癩蛤蟆洞穴(副本),0,0,0,0,,0,0,,0,0,,,,,,1
116,大癩蛤蟆窟(副本),0,0,0,0,,0,0,,0,0,,,,,,1
117,癩蛤蟆村落,235,745,54,54,Jiendia_117.png,1024,650,渴望從可怕的大癩蛤蟆魔王手中逃脫的癩蛤蟆島居民的村莊。,10002000,96,癩蛤蟆村落,亞特蘭提斯,恐怖村莊,陰森村莊,,1
118,廢鐵溪谷入口,0,0,0,0,Jiendia_118.png,1024,650,從米德卡勒特前往鋼鐵都市會經過的道路。,10002000,98,鋼鐵都市,,,,,1
119,鋼鐵都市,566,867,30,30,Jiendia_119.png,1024,650,獨自使用那已停止傳授的亞特蘭提斯科學而發展而成的屬於他們的世界。,10002000,99,廢鐵溪谷入口,廢鐵溪谷出口,兵工廠,米德卡勒特,,1
120,廢鐵溪谷出口,0,0,0,0,Jiendia_120.png,1024,650,經過鋼鐵都市後，與廢鐵溪谷外圍相連接的地方。,10002000,100,鋼鐵都市,,,,,1
121,兵工廠,0,0,0,0,Jiendia_121.png,1024,650,這裡是由獨具動力與智能，並以製作巨大娃娃兵器為目標的人們所建造的研究所。,10002000,101,廢鐵溪谷出口,,,,,1
122,結婚會場,0,0,0,0,,0,0,,0,0,,,,,,1
123,[活動]拜託聖誕老公公,0,0,0,0,,0,0,,0,0,,,,,,1
124,[PVP]道具戰,0,0,0,0,,0,0,,0,0,,,,,,1
125,[PVP]自由,0,0,0,0,,0,0,,0,0,,,,,,1
126,[PVP]低重力,0,0,0,0,,0,0,,0,0,,,,,,1
127,[PVP]海底,0,0,0,0,,0,0,,0,0,,,,,,1
128,[PVP]金字塔,0,0,0,0,,0,0,,0,0,,,,,,1
129,鋼鐵都市轉職中心,0,0,0,0,,0,0,,0,0,,,,,,1
130,精靈樹,732,606,30,30,Jiendia_130.png,1024,650,藉由神祕的力量守護精靈們的精靈王之樹。,10002000,103,吉恩蒂亞公園,花溪谷,[副本] 精靈城,,,1
131,花溪谷,0,0,0,0,Jiendia_131.png,1024,650,小孩們夢想中的景象，一年四季都陪伴在神秘童話國居民們身旁的美麗花溪谷。,10002000,104,精靈樹,,,,,1
132,精靈城(副本),0,0,0,0,,0,0,,0,0,,,,,,1
133,麵包大街,808,661,30,30,Jiendia_133.png,1024,650,時常下雨的鬱悶街道。在這街道上瀰漫著神祕的味道…!,10002000,106,吉恩蒂亞公園,白色教堂,白色教堂後巷,,,1
134,白色教堂,0,0,0,0,Jiendia_134.png,1024,650,潮濕的後巷蜿蜒相連，每個巷口似乎皆發生過命案的危險街道。,10002000,107,麵包大街,,,,,1
135,黑色石塔(副本),0,0,0,0,,0,0,,0,0,,,,,,1
136,金蘭雲系,410,675,30,30,Jiendia_136.png,1024,650,神仙與仙女們聚集居住的天上國度 。,10002000,109,天門,[副本] 飛空部,,,,1
137,天門,341,647,30,30,Jiendia_137.png,1024,650,"通往金蘭雲系,類似關門的地方。 也是金蘭雲系的居民偶爾會聚集相互交流的地方。",10002000,110,亞特蘭提斯都市,金蘭雲系,,,,1
138,飛空部(副本),0,0,0,0,,0,0,,0,0,,,,,,1
139,異世界(副本),0,0,0,0,,0,0,,0,0,,,,,,1
140,異世界入口,0,0,0,0,,0,0,,0,0,,,,,,1
141,機庫,901,745,30,30,Jiendia_141.png,1024,650,停放拜訪宇宙各地的宇宙船的巨大停機棚與居住空間。,10002000,114,比佛羅斯特,水耕農場,,,,1
142,水耕農場,883,819,30,30,Jiendia_142.png,1024,650,亞斯卡勒特居民心中神聖的糧食供給生產地。,10002000,115,機庫,D-拉伯,,,,1
143,D-拉伯,816,888,30,30,Jiendia_143.png,1024,650,不斷發展著亞斯卡勒特最新科學精髓的研究設施。,10002000,116,水耕農場,[副本] 地獄之門,,,,1
144,地獄之門(副本),0,0,0,0,,0,0,,0,0,,,,,,1
145,地獄之門,0,0,0,0,Jiendia_145.png,1024,650,,10002000,117,,,,,,1
146,小章魚神殿,623,704,30,30,Jiendia_146.png,1024,650,這裡是為征服宇宙而造訪的小章魚們，因躲避海鮮饕客的魔手而逃至的最後堡壘。加油!小章魚!,10002000,120,米德卡勒特,[副本] 小章魚神殿,佈滿青苔的小章魚神殿,[副本] 小章魚獎勵房,,1
147,瘋狂礦工的礦場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
148,退休礦工的礦場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
149,貪心礦工的礦場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
150,約束庭園(副本),0,0,0,0,,0,0,,0,0,,,,,,1
151,安息庭園(副本),0,0,0,0,,0,0,,0,0,,,,,,1
152,白日夢庭園(副本),0,0,0,0,,0,0,,0,0,,,,,,1
153,毛絨絨溫泉(副本),0,0,0,0,,0,0,,0,0,,,,,,1
154,雪女溫泉(副本),0,0,0,0,,0,0,,0,0,,,,,,1
155,雪爾奇溫泉(副本),0,0,0,0,,0,0,,0,0,,,,,,1
156,開拓者的礦場,0,0,0,0,,0,0,,0,0,,,,,,1
157,停等區,0,0,0,0,Jiendia_157.png,1024,650,"連接吉恩蒂亞各個設施的地區, 現在作為與魔物打鬥相關的戰況統治所使用。",10002000,122,,,,,,1
158,競技場 初級競技場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
159,競技場 中級競技場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
160,競技場 高級競技場,0,0,0,0,,0,0,,0,0,,,,,,1
161,競技場 高難度競技場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
162,吉納蒂亞地上庭園,166,429,30,30,Jiendia_162.png,1024,1024,,10002000,123,吉納蒂亞水上庭園,[轉職] 吉納蒂亞聖地,,,,1
163,吉納蒂亞水上庭園,261,402,30,30,Jiendia_163.png,1024,650,,10002000,125,奧爾卡海邊,吉納蒂亞地上庭園,,,,1
164,吉納蒂亞3,0,0,0,0,,0,0,,0,0,,,,,,1
165,吉納蒂亞4,0,0,0,0,,0,0,,0,0,,,,,,1
166,吉納蒂亞5,0,0,0,0,,0,0,,0,0,,,,,,1
167,吉納蒂亞6,0,0,0,0,,0,0,,0,0,,,,,,1
168,吉納蒂亞7,0,0,0,0,,0,0,,0,0,,,,,,1
169,吉納蒂亞8,0,0,0,0,,0,0,,0,0,,,,,,1
170,喧鬧的礦場(副本),0,0,0,0,,0,0,,0,0,,,,,,1
171,夢想庭園(副本),0,0,0,0,,0,0,,0,0,,,,,,1
172,耶比妹妹~★!! 溫泉(副本),0,0,0,0,,0,0,,0,0,,,,,,1
173,吉納蒂亞(轉職地區),0,0,0,0,Jiendia_173.png,1024,650,,10002000,124,,,,,,1
174,[活動]空中樓閣,0,0,0,0,,0,0,,0,0,,,,,,1
175,公會房間 秩序,0,0,0,0,,0,0,,0,0,,,,,,1
176,公會房間 混沌,0,0,0,0,,0,0,,0,0,,,,,,1
177,小章魚神殿 BOSS(副本),0,0,0,0,,0,0,,0,0,,,,,,1
178,神秘森林,662,639,30,30,freios_178.png,1024,650,從遠方星球來到這裡的旅行者們停留的夢幻都市。,10002000,129,天空海,米德卡勒特,奧斯古拉斯,,,2
179,天空海,655,561,30,30,freios_179.png,1024,650,利用充滿大氣中的魔力創造出的神祕空中海。,10002000,130,聯合公會,貝爾法圖書館,被遺忘的平原,艾爾亞諾勒山嶽地區,佈滿青苔的小章魚神殿,2
180,艾爾亞諾勒平原(南部),556,315,30,30,freios_180.png,1024,650,在陸地還連結在一起的時候被稱做艾爾亞諾勒的地區。 這裡有聯合公會本部。,10002000,134,聯合公會,艾爾亞諾勒平原(東部),艾爾亞諾勒平原(北部),艾爾亞諾勒平原(西部),,2
181,艾爾亞諾勒平原(北部),600,131,30,30,freios_181.png,1024,650,在艾爾亞諾勒平原非常難找到的哥布林部落。,10002000,135,艾爾亞諾勒平原(南部),艾爾亞諾勒平原(東部),飛空艇墜落地帶,,,2
182,艾爾亞諾勒平原西部,492,237,30,30,freios_182.png,1024,650,自稱為囚犯帝國君的狐狸巡邏兵現身的艾爾亞諾勒平原西部。,10002000,136,艾爾亞諾勒平原南部,,,,,2
183,艾爾亞諾勒平原東部,685,287,30,30,freios_183.png,1024,650,適合魔法之樹棲息的環境-艾爾亞諾勒東部。,10002000,137,艾爾亞諾勒平原南部,艾爾亞諾勒平原北部,,,,2
184,聯合公會,423,490,54,54,freios_184.png,1024,1024,以聯合公會的本部為中心建造而成的都市。,10002000,131,天空海,艾爾亞諾勒平原南部,星光平原,珊瑚樹林,漂流都市,2
185,輔助職業轉職房間,0,0,0,0,,0,0,,10002000,133,,,,,,2
186,限時闖關 蛇龍巢穴(副本),0,0,0,0,,0,0,,0,0,,,,,,2
187,限時闖關 極地迷宮(副本),0,0,0,0,,0,0,,0,0,,,,,,2
188,輔助職業轉職房間,0,0,0,0,,0,0,,10002000,133,,,,,,2
189,[活動]極地迷宮,0,0,0,0,,0,0,,0,0,,,,,,2
190,[活動]原野地帶,0,0,0,0,,0,0,,0,0,,,,,,2
191,[限時闖關]蛇龍巢穴 初級(副本),0,0,0,0,,0,0,,0,0,,,,,,2
192,[限時闖關]極地迷宮 初級(副本),0,0,0,0,,0,0,,0,0,,,,,,2
193,艾爾亞諾勒山嶽地區,776,372,30,30,freios_193.png,1024,650,聯合公會所在的艾爾亞諾勒外圍周邊環繞的山嶽地帶。,10002000,139,天空海,飛空艇墜落地帶,惡魔之山,,,2
194,艾爾亞諾勒山嶽地區 BOSS房間,0,0,0,0,,0,0,,0,0,,,,,,2
195,飛空部墜落地,733,221,30,30,freios_195.png,1024,650,推測為帝國軍的身分未詳飛空部墜落地。,10002000,138,艾爾亞諾勒山嶽地區,艾爾亞諾勒平原北部,[副本] 騎士大將之屋,,,2
196,[限時闖關] 金字塔(副本),0,0,0,0,,0,0,,0,0,,,,,,2
197,[限時闖關] 香格里拉(副本),0,0,0,0,,0,0,,0,0,,,,,,2
198,被遺忘的平原,503,602,30,30,freios_198.png,1024,650,因為強力的魔法而被隔離開的古代平原。,10002000,140,天空海,日落平原,[副本] 被遺忘的花園,,,2
199,被遺忘的花園(副本),0,0,0,0,,0,0,,0,141,,,,,,2
